Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
4069,FIRST STATE BANK,COMMERCIAL BANK,STATE,"PFLUGERVILLE, TX",8/24/1989 ,BIF,12300,ACQUISITION,30994,30690,8778
7090,DENTON FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"DENTON, TX",8/24/1989 ,RTC,28760,ACQUISITION,147991,142729,31981
5983,"PARK CENTRAL BANK, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"FORT WORTH, TX",8/24/1989 ,BIF,26319,TRANSFER,15193,11853,5449
5982,THE DAKOTA BANK,COMMERCIAL BANK,STATE,"GRAND FORKS, ND",8/24/1989 ,BIF,22967,TRANSFER,28647,31174,2861
7146,HERITAGE SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"JERSEYVILLE, IL",8/24/1989 ,RTC,30628,ACQUISITION,27735,32884,1
5985,THE BURR OAK STATE BANK,COMMERCIAL BANK,STATE,"BURR OAK, KS",8/31/1989 ,BIF,9657,TRANSFER,4098,4387,457
5986,LIBERTY BANK,COMMERCIAL BANK,STATE,"GLENDALE, AZ",9/1/1989 ,BIF,23943,ACQUISITION,30466,32357,8218
7085,CITIZENS S & LA OF SPRINGFIELD,SAVINGS ASSOCIATION,FEDERAL/STATE,"SPRINGFIELD, IL",9/7/1989 ,RTC,28107,ACQUISITION,78483,89309,6
5988,THOUSAND OAKS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",9/7/1989 ,BIF,25906,ACQUISITION,32479,30158,3496
5987,THE LASALLE STATE BANK,COMMERCIAL BANK,STATE,"JENA, LA",9/7/1989 ,BIF,8805,ACQUISITION,37123,38808,631
5989,FIRST BANKERS TRUST OF BOSSIER CITY,COMMERCIAL BANK,STATE,"BOSSIER CITY, LA",9/14/1989 ,BIF,25595,ACQUISITION,28656,27094,6941
5992,"MEDCENTRE BANK,N.A.",COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",9/14/1989 ,BIF,25731,ACQUISITION,30152,27811,6695
5991,KIRBY STATE BANK,COMMERCIAL BANK,STATE,"KIRBY, TX",9/14/1989 ,BIF,21186,ACQUISITION,16453,16787,0
5990,PRAIRIE STATE BANK,COMMERCIAL BANK,STATE,"GRAND PRAIRIE, TX",9/14/1989 ,BIF,26462,TRANSFER,16783,16397,2760
7068,FIRST SAVINGS OF LAREDO,SAVINGS ASSOCIATION,FEDERAL/STATE,"LAREDO, TX",9/14/1989 ,RTC,28912,PAYOUT,157577,171151,119150
5993,ROSE CAPITAL BANK,COMMERCIAL BANK,STATE,"TYLER, TX",9/21/1989 ,BIF,22726,ACQUISITION,60449,62698,12643
7026,FIRST FED. S & LA OF BRENHAM,SAVINGS ASSOCIATION,FEDERAL/STATE,"BRENHAM, TX",9/21/1989 ,RTC,28430,TRANSFER,138946,148436,49995
7091,FIRST GARLAND FED. S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,"GARLAND, TX",9/21/1989 ,RTC,29660,ACQUISITION,106416,132423,31864
7069,PLANO S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"PLANO, TX",9/21/1989 ,RTC,31398,TRANSFER,256137,274375,137568
7050,EAST TEXAS S & LA ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,"TYLER, TX",9/21/1989 ,RTC,28187,ACQUISITION,213728,362365,63166
5994,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,"LYMAN, NE",9/23/1989 ,BIF,16342,ACQUISITION,5570,5677,1005
5995,NATIONAL BANK OF ARIZONA,COMMERCIAL BANK,FEDERAL,"SCOTTSDALE, AZ",9/28/1989 ,BIF,24889,ACQUISITION,15731,15792,3924
7116,COLORADO SAVINGS BANK,SAVINGS BANK,STATE,"STERLING, CO",9/28/1989 ,RTC,32507,TRANSFER,12607,12259,1930
5997,STRAWN SECURITY BANK,COMMERCIAL BANK,STATE,"STRAWN, TX",10/5/1989 ,BIF,5540,ACQUISITION,14126,14420,5392
7167,AMERICAN HOME S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,"EDMOND, OK",10/5/1989 ,RTC,32152,ACQUISITION,79523,96734,13662
7027,"FAMILY SAVINGS BANK, FSB",SAVINGS BANK,STATE,"SAPULPA, OK",10/5/1989 ,RTC,28550,TRANSFER,52815,50912,4090
5999,FIRST NATIONAL BANK OF VAIL,COMMERCIAL BANK,FEDERAL,"VAIL, CO",10/5/1989 ,BIF,25190,ACQUISITION,3489,3569,792
5996,THE OLLA STATE BANK,COMMERCIAL BANK,STATE,"OLLA, LA",10/5/1989 ,BIF,11787,ACQUISITION,22938,23569,3625
5998,COMMONWEALTH BANK,COMMERCIAL BANK,STATE,"ARLINGTON, TX",10/5/1989 ,BIF,23999,ACQUISITION,79293,74931,16497
4100,FIRST BANK,COMMERCIAL BANK,STATE,"COLORADO SPRINGS, CO",10/6/1989 ,BIF,21263,ACQUISITION,33967,35950,11156
4102,"NORTH BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"OKLAHOMA CITY, OK",10/12/1989 ,BIF,25751,ACQUISITION,12927,12368,1072
4101,CITIZENS BANK,COMMERCIAL BANK,STATE,"GALVESTON, TX",10/12/1989 ,BIF,18876,ACQUISITION,32123,31307,5397
7420,COLUMBIA FEDERAL HOMESTEAD,SAVINGS ASSOCIATION,FEDERAL/STATE,"METAIRIE, LA",10/13/1989 ,RTC,29918,PAYOUT,90065,96143,26807
7127,BANC IOWA FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,"CEDAR RAPIDS, IA",10/16/1989 ,RTC,29870,ACQUISITION,140208,161877,21908
7319,SURETY FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"EL PASO, TX",10/19/1989 ,RTC,31397,PAYOUT,244546,290998,69202
4103,"PARK AVENUE BANK, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"OKLAHOMA CITY, OK",10/19/1989 ,BIF,25698,ACQUISITION,14436,17919,776
4105,CENTURY BANK,COMMERCIAL BANK,STATE,"PHOENIX, AZ",10/19/1989 ,BIF,20426,ACQUISITION,119937,120355,25828
4104,BEAUMONT BANK-NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,"BEAUMONT, TX",10/19/1989 ,BIF,25061,ACQUISITION,26886,29198,5359
7390,PEOPLES HOMESTEAD SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"MONROE, LA",10/19/1989 ,RTC,28174,TRANSFER,263662,268935,100418
7274,MID KANSAS S & LA ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"WICHITA, KS",10/19/1989 ,RTC,29074,ACQUISITION,595584,761850,72792
7111,VALLEY FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"MCALLEN, TX",10/19/1989 ,RTC,29183,ACQUISITION,542897,517092,235329
7189,SEASONS FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,"RICHMOND, VA",10/19/1989 ,RTC,31682,ACQUISITION,213711,260796,49381
4107,FIRST CONSOLIDATED BANK - HILLSBORO,COMMERCIAL BANK,FEDERAL,"HILLSBORO, TX",10/20/1989 ,BIF,3123,ACQUISITION,10847,11315,2055
4106,FIRST CONSOLIDATED BANK - FERRIS,COMMERCIAL BANK,STATE,"FERRIS, TX",10/20/1989 ,BIF,1187,ACQUISITION,11248,12026,3247
4110,FIRST CONSOLIDATED BANK - PLEASANT RUN,COMMERCIAL BANK,FEDERAL,"LANCASTER, TX",10/20/1989 ,BIF,25782,ACQUISITION,19837,19291,6108
4109,FIRST CONSOLIDATED BANK - ROSEBUD,COMMERCIAL BANK,FEDERAL,"ROSEBUD, TX",10/20/1989 ,BIF,5498,ACQUISITION,16533,17125,4494
4108,FIRST CONSOLIDATED BANK - BUDA,COMMERCIAL BANK,FEDERAL,"BUDA, TX",10/20/1989 ,BIF,24302,ACQUISITION,15224,15040,5484
7137,GREAT PLAINS SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"WEATHERFORD, OK",10/26/1989 ,RTC,28690,ACQUISITION,72501,99765,19970
4112,FIRST SECURITY BANK AND TRUST CO,COMMERCIAL BANK,STATE,"HAUGHTON, LA",10/26/1989 ,BIF,22897,ACQUISITION,20720,20596,5828
4111,WESTERN NATIONAL BANK OF LOUISIANA,COMMERCIAL BANK,FEDERAL,"KAPLAN, LA",10/26/1989 ,BIF,24704,ACQUISITION,11945,11848,1470
7232,FIRST LOUISIANA FEDERAL SAVINGS,SAVINGS BANK,STATE,"LAFAYETTE, LA",11/2/1989 ,RTC,32281,TRANSFER,105813,161850,42910
4113,BANK OF ST. CHARLES,COMMERCIAL BANK,STATE,"ST. ROSE, LA",11/2/1989 ,BIF,11786,ACQUISITION,65181,65235,11080
4117,NATIONAL INDUSTRIAL BANK OF CONNECTICUT,COMMERCIAL BANK,FEDERAL,"MERIDEN, CT",11/9/1989 ,BIF,19114,ACQUISITION,48254,46515,5331
7055,ASPEN SAVINGS BANK FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"ASPEN, CO",11/9/1989 ,RTC,31655,TRANSFER,108156,136338,51279
4116,CITY NATIONAL BANK OF PLANO,COMMERCIAL BANK,FEDERAL,"PLANO, TX",11/9/1989 ,BIF,22530,ACQUISITION,71100,56450,32780
4115,UNITED NATIONAL BANK OF PLANO,COMMERCIAL BANK,FEDERAL,"PLANO, TX",11/9/1989 ,BIF,23475,ACQUISITION,30544,29822,4295
7168,CREST FEDERAL S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,"KANKAKEE, IL",11/9/1989 ,RTC,30909,TRANSFER,133238,137052,22373
4114,THE LEE STATE BANK,COMMERCIAL BANK,STATE,"BROWERVILLE, MN",11/9/1989 ,BIF,15080,ACQUISITION,13473,13405,2656
7342,COLONIAL FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"ROSELLE PARK, NJ",11/9/1989 ,RTC,30190,PAYOUT,337964,427118,103473
7224,FIDELITY FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"GALESBURG, IL",11/9/1989 ,RTC,27821,ACQUISITION,361556,393814,46571
7042,SARATOGA S & L ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN JOSE, CA",11/9/1989 ,RTC,32162,TRANSFER,81712,84464,18565
6989,SECURITY FED. SAVINGS ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,"GARDEN GROVE, CA",11/16/1989 ,RTC,30982,TRANSFER,74713,71004,3
4119,EXECUTIVE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",11/16/1989 ,BIF,25171,ACQUISITION,8874,7350,2606
4118,LOVE FIELD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",11/16/1989 ,BIF,21026,ACQUISITION,29020,28311,5891
7174,SOONER FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"TULSA, OK",11/16/1989 ,RTC,28649,ACQUISITION,1153454,1529913,152840
7268,GENERAL FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,"CORAL GABLES, FL",11/16/1989 ,RTC,32030,TRANSFER,301460,355501,115396
7136,TEXAS WESTERN FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"HOUSTON, TX",11/16/1989 ,RTC,28987,PAYOUT,96713,116097,19744
7202,FIRST FEDERAL S & L /CENTRAL INDIANA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ANDERSON, IN",11/16/1989 ,RTC,27616,ACQUISITION,176725,192423,15143
4120,SECURITY NATIONAL BANK OF SHREVEPORT,COMMERCIAL BANK,FEDERAL,"SHREVEPORT, LA",11/17/1989 ,BIF,23763,PAYOUT,20224,19446,7236
7072,FIRST FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,"DIAMONDVILLE, WY",11/30/1989 ,RTC,31599,PAYOUT,11533,13416,7749
7276,"SECURITY FEDERAL SAVINGS, FSB",SAVINGS BANK,STATE,"COLUMBIA, SC",11/30/1989 ,RTC,29060,ACQUISITION,667256,759158,66757
7130,SALAMANCA FED. SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"SALAMANCA, NY",11/30/1989 ,RTC,29436,ACQUISITION,29673,29698,1
7206,FORTUNE FINANCIAL FED. S & L ASSOC,SAVINGS ASSOCIATION,FEDERAL/STATE,"COPPERAS COVE, TX",11/30/1989 ,RTC,31974,PAYOUT,74543,84198,35311
7218,BROOKSIDE FEDERAL S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,"LOS ANGELES, CA",11/30/1989 ,RTC,32133,PAYOUT,560299,601442,45666
7336,AUSTIN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"AUSTIN, TX",11/30/1989 ,RTC,32283,PAYOUT,85020,113369,21563
4122,"GREATER TEXAS BANK SOUTHWEST, NA",COMMERCIAL BANK,FEDERAL,"TRAVIS COUNTY, TX",11/30/1989 ,BIF,26433,ACQUISITION,33466,32598,4032
4121,"GREATER TEXAS BANK NORTH, NA",COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",11/30/1989 ,BIF,25676,ACQUISITION,26293,22670,11233
7325,SOUTHWESTERN FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"EL PASO, TX",11/30/1989 ,RTC,31601,PAYOUT,114807,126427,62982
4124,FIRST SECURITY BANK OF GLENDIVE,COMMERCIAL BANK,STATE,"GLENDIVE, MT",12/1/1989 ,BIF,354,ACQUISITION,31862,32396,388
4123,CENTRAL DAKOTA BANK,COMMERCIAL BANK,STATE,"LEHR, ND",12/1/1989 ,BIF,19664,ACQUISITION,13654,13854,2668
4127,FIRST NATIONAL BANK OF FRISCO,COMMERCIAL BANK,FEDERAL,"FRISCO, TX",12/7/1989 ,BIF,25166,ACQUISITION,9418,8981,976
4125,ALEDO STATE BANK,COMMERCIAL BANK,STATE,"ALEDO, TX",12/7/1989 ,BIF,22593,ACQUISITION,9716,9933,407
7197,ARLINGTON HEIGHTS SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"ARLINGTON HEIGHTS, IL",12/7/1989 ,RTC,30624,ACQUISITION,400707,509134,15
7170,COMMUNITY FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"BRIDGEPORT, CT",12/7/1989 ,RTC,31714,TRANSFER,50333,58270,4842
4126,ATLANTIC NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"NORFOLK, VA",12/7/1989 ,BIF,20485,ACQUISITION,13669,14412,627
4130,"WESTHEIMER MEMORIAL BANK, NA",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",12/7/1989 ,BIF,25674,ACQUISITION,47660,38862,20079
7126,THE GARNETT S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"GARNETT, KS",12/7/1989 ,RTC,29516,ACQUISITION,14523,13628,794
4128,FIRST COMMERCE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"PHOENIX, AZ",12/7/1989 ,BIF,26464,ACQUISITION,21443,20267,2381
4129,ORANGE STATE BANK,COMMERCIAL BANK,STATE,"MIAMI, FL",12/8/1989 ,BIF,24623,ACQUISITION,8078,8047,925
7270,"CITY SAVINGS, FSB",SAVINGS BANK,STATE,"SOMERSET, NJ",12/8/1989 ,RTC,28406,TRANSFER,7322665,9813776,1565479
7346,ATLANTIC PERMANENT FEDERAL,SAVINGS BANK,STATE,"NORFOLK, VA",12/8/1989 ,RTC,28223,PAYOUT,370596,581043,79907
4131,"FIRST BANK, PINEVILLE, LOUISIANA",COMMERCIAL BANK,STATE,"PINEVILLE, LA",12/8/1989 ,BIF,21514,ACQUISITION,69301,72255,39467
4132,MIDLOTHIAN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"MIDLOTHIAN, TX",12/13/1989 ,BIF,24901,ACQUISITION,11512,9964,4125
4133,CITY NATIONAL BANK OF SAYRE,COMMERCIAL BANK,FEDERAL,"SAYRE, OK",12/13/1989 ,BIF,4192,ACQUISITION,22437,20959,3808
4134,FIRST ACADIANA BANK,COMMERCIAL BANK,STATE,"EUNICE, LA",12/14/1989 ,BIF,19492,ACQUISITION,44605,46767,5984
4136,NORTH SIDE STATE BANK,COMMERCIAL BANK,STATE,"TULSA, OK",12/14/1989 ,BIF,17861,ACQUISITION,21408,20375,4521
7291,RED RIVER S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"COUSHATTA, LA",12/14/1989 ,RTC,31830,ACQUISITION,7726,10388,3315
7448,LOUISIANA SAVINGS ASSN.,SAVINGS ASSOCIATION,FEDERAL/STATE,"LAKE CHARLES, LA",12/14/1989 ,RTC,29444,PAYOUT,398844,449258,114104
7188,YORKRIDGE-CALVERT FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"BALTIMORE, MD",12/14/1989 ,RTC,30675,TRANSFER,372236,585792,40051
4135,CANYON LAKE BANK,COMMERCIAL BANK,STATE,"CANYON LAKE, TX",12/14/1989 ,BIF,20918,ACQUISITION,32111,30983,9219
4137,FIRST AMERICAN BANK AND TRUST,COMMERCIAL BANK,STATE,"NORTH PALM BEACH, FL",12/15/1989 ,BIF,18002,ACQUISITION,1005829,1382924,383108
4139,UNITED COMMUNITY BANK,COMMERCIAL BANK,STATE,"WESTLAKE VILLAGE, CA",12/20/1989 ,BIF,23419,ACQUISITION,29318,32288,1351
4138,FIRST CITY NATIONAL BANK AND TRUST,COMMERCIAL BANK,FEDERAL,"NEW YORK, NY",12/20/1989 ,BIF,26814,PAYOUT,38155,39512,10824
7438,COLUMBIA FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"NASSAU BAY, TX",12/21/1989 ,RTC,32390,PAYOUT,71092,77141,36009
7271,SILVER SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"SILVER CITY, NM",12/21/1989 ,RTC,31911,TRANSFER,27723,32209,7265
7199,BANNERBANC FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"GARLAND, TX",1/4/1990 ,RTC,30995,TRANSFER,55588,46028,28029
7152,FIRST CENTRAL FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,"CHARITON, IA",1/4/1990 ,RTC,30034,ACQUISITION,104887,112832,372
4140,THE FIRST NATIONAL BANK OF SAN MARCOS,COMMERCIAL BANK,FEDERAL,"SAN MARCOS, TX",1/4/1990 ,BIF,5517,ACQUISITION,79985,77567,22823
7184,MIDWEST FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,"MINOT, ND",1/4/1990 ,RTC,27920,ACQUISITION,577794,954990,93565
7321,FIRST GUARANTY BANK FOR SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"HATTIESBURG, MS",1/4/1990 ,RTC,31904,ACQUISITION,179764,240966,79536
7109,ST. LOUIS COUNTY SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"FERGUSON, MO",1/11/1990 ,RTC,28928,ACQUISITION,81197,85828,10
7150,INVESTMENT FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CHATSWORTH, CA",1/11/1990 ,RTC,31944,ACQUISITION,241488,247813,0
7359,CERTIFIED FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"GEORGETOWN, TX",1/11/1990 ,RTC,29803,PAYOUT,91442,118852,58136
7097,FAMILY FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"DALLAS, OR",1/11/1990 ,RTC,28863,ACQUISITION,100719,164183,4201
2147,ATLANTIC FINANCIAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"BALA CYNWYD, PA",1/11/1990 ,RTC,28884,ACQUISITION,3710735,5299370,946981
4141,PLAZA DEL ORO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",1/11/1990 ,BIF,26252,ACQUISITION,15778,15697,1503
7426,AMERICAN FSB,SAVINGS BANK,STATE,"SANFORD, ME",1/11/1990 ,RTC,28340,TRANSFER,39793,51797,14228
7282,"HORIZON SAVINGS BANK, FSB",SAVINGS BANK,STATE,"WILMETTE, IL",1/11/1990 ,RTC,28940,ACQUISITION,1102973,1223701,80770
7041,FINANCIAL FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"FRESNO, CA",1/11/1990 ,RTC,32342,PAYOUT,33755,31163,3071
7242,DEPOSIT TRUST FEDERAL SAVINGS,SAVINGS BANK,STATE,"MONROE, LA",1/11/1990 ,RTC,32122,TRANSFER,91712,97966,24750
7101,WILSHIRE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LOS ANGELES, CA",1/11/1990 ,RTC,32191,PAYOUT,77324,78144,9051
7234,ST. CHARLES FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ST. CHARLES, IL",1/11/1990 ,RTC,28154,ACQUISITION,113270,146514,6084
7405,DUVAL FEDERAL SAVINGS ASSN.,SAVINGS ASSOCIATION,FEDERAL/STATE,"JACKSONVILLE, FL",1/18/1990 ,RTC,30677,TRANSFER,861575,1016266,132227
7248,KARNES COUNTY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"KARNES CITY, TX",1/18/1990 ,RTC,31463,TRANSFER,56683,53124,24687
7347,BROOKHAVEN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"BROOKHAVEN, MS",1/18/1990 ,RTC,31310,ACQUISITION,41976,42729,8179
7419,STANDARD FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HOUSTON, TX",1/18/1990 ,RTC,31052,PAYOUT,15080,13517,9642
7112,MARSHALL FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MARSHALL, TX",1/18/1990 ,RTC,29465,ACQUISITION,57793,62047,14369
7162,GEM CITY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"QUINCY, IL",1/18/1990 ,RTC,28830,ACQUISITION,232928,290392,11556
7230,FRONTIER FEDERAL SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"BELLEVILLE, IL",1/18/1990 ,RTC,27765,ACQUISITION,47565,45338,278
7082,FIRST FED. SAVINGS ASSOC. OF YORK,SAVINGS ASSOCIATION,FEDERAL/STATE,"YORK, NE",1/18/1990 ,RTC,30855,ACQUISITION,54885,59744,2846
7125,COLONIAL FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"PRAIRIE VILLAGE, KS",1/18/1990 ,RTC,31213,ACQUISITION,102389,136400,16641
7194,EMPIRE OF AMERICA FSB,SAVINGS BANK,STATE,"BUFFALO, NY",1/24/1990 ,RTC,30321,ACQUISITION,8025454,8173572,1243168
4142,"FARMERS STATE BANK OF SHIRO, TEXAS",COMMERCIAL BANK,STATE,"SHIRO, TX",1/25/1990 ,BIF,1215,ACQUISITION,4399,4601,2118
7178,WILLIAMSBURG FS & LA,SAVINGS BANK,STATE,"SALT LAKE CITY, UT",1/26/1990 ,RTC,31710,ACQUISITION,257666,310520,31128
4144,"MONROE SAVINGS BANK, FSB",SAVINGS BANK,STATE,"ROCHESTER, NY",1/26/1990 ,BIF,16036,ACQUISITION,488802,520587,25746
4145,CREDITBANK,COMMERCIAL BANK,STATE,"CUTLER RIDGE, FL",1/26/1990 ,BIF,19273,ACQUISITION,74090,76437,15744
7290,PALO DURO FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"AMARILLO, TX",1/26/1990 ,RTC,32089,ACQUISITION,41818,64983,12600
7216,COLONIAL S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CAPE GIRARDEAU, MO",1/26/1990 ,RTC,30309,ACQUISITION,157400,170860,7976
7205,UVALDE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"UVALDE, TX",1/26/1990 ,RTC,32003,PAYOUT,14318,13262,6085
4146,"FIDELITY BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",1/26/1990 ,BIF,24937,TRANSFER,35817,36625,5092
4143,"BANCTEXAS DALLAS, N.A.",COMMERCIAL BANK,FEDERAL,"DALLAS, TX",1/26/1990 ,BIF,3164,ACQUISITION,338207,340938,64630
7183,FIRST SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"BISMARK, ND",1/26/1990 ,RTC,28929,TRANSFER,100539,113384,16720
7215,GRAND PRAIRIE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"STUTTGART, AR",1/26/1990 ,RTC,31991,PAYOUT,24780,31465,14175
7201,MERABANK FSB,SAVINGS BANK,STATE,"PHOENIX, AZ",1/31/1990 ,RTC,31400,ACQUISITION,4803146,6317579,671485
4147,TYLER NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"TYLER, TX",2/1/1990 ,BIF,24393,ACQUISITION,26103,24708,6892
4148,CITIZENS NATIONAL BANK OF WALNUT RIDGE,COMMERCIAL BANK,FEDERAL,"WALNUT RIDGE, AR",2/2/1990 ,BIF,16816,ACQUISITION,34098,37524,6321
7279,"PIONEER SAVINGS BANK, FSB",SAVINGS ASSOCIATION,FEDERAL/STATE,"CLEARWATER, FL",2/2/1990 ,RTC,30803,ACQUISITION,1424005,1935739,217193
4149,COMMERCE BANK OF TAMPA,COMMERCIAL BANK,STATE,"TAMPA, FL",2/2/1990 ,BIF,26429,ACQUISITION,22270,21631,4018
7297,CLYDE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"NORTH RIVERSIDE, IL",2/2/1990 ,RTC,29470,ACQUISITION,563728,574684,54302
7102,"CENTRUST BANK, SB",SAVINGS ASSOCIATION,FEDERAL/STATE,"MIAMI, FL",2/2/1990 ,RTC,29000,ACQUISITION,5894019,8217563,672161
7233,HENDERSON HOME S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HENDERSON, KY",2/2/1990 ,RTC,27915,ACQUISITION,49827,50377,2232
7073,SENTINEL FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PHOENIX, AZ",2/2/1990 ,RTC,32261,TRANSFER,170574,174915,39326
4150,THE FIRST NATIONAL BANK OF COLBERT,COMMERCIAL BANK,FEDERAL,"COLBERT, OK",2/8/1990 ,BIF,4237,TRANSFER,16539,17910,3897
7273,AMERICAN FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"DES MOINES, IA",2/9/1990 ,RTC,29728,ACQUISITION,817908,910668,23524
7338,VERMONT SA,SAVINGS ASSOCIATION,FEDERAL/STATE,"TIMONIUM, MD",2/9/1990 ,RTC,29840,ACQUISITION,254328,334886,41859
7280,"ABQ BANK, A FSB",SAVINGS BANK,STATE,"ALBUQUERQUE, NM",2/9/1990 ,RTC,29127,ACQUISITION,1467840,2018703,434134
7264,LIBERTY SAVINGS BANK FSB,SAVINGS BANK,STATE,"RANDALLSTOWN, MD",2/9/1990 ,RTC,32515,TRANSFER,41961,49481,15321
7099,HUNTINGTON FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HUNTINGTON BEACH, CA",2/9/1990 ,RTC,32094,ACQUISITION,120234,120438,13327
7163,FAIRMONT FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIRMONT, MN",2/9/1990 ,RTC,28205,ACQUISITION,46392,45966,1304
4153,GATEWAY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"PHOENIX, AZ",2/15/1990 ,BIF,26667,ACQUISITION,8209,8598,5864
